target,gen,mean_tm,sd_tm,pss,oracle50_dockq,failing
9vmo,boltz2,0.5428343436734694,0.11059631336583017,0.08831,0.03586131444585195,True
9vnp,boltz2,0.9140552800000001,0.09407185291816628,0.660778,0.31595364464319897,False
9vo2,boltz2,0.5428343436734694,0.11059631336583017,0.08831,0.03541788903283182,True
9w14,boltz2,0.9158553640816327,0.1341634789179828,0.720051,0.8991024050642352,False
9wb3,boltz2,0.9959998938775511,0.0018028946584740758,0.971877,0.9097631500530854,False
9wb4,boltz2,0.9959998938775511,0.0018028946584740758,0.971877,0.9097631500530854,False
9wpm,boltz2,0.9140514171428571,0.08560708154343041,0.529386,0.21971292768420903,True
9wwh,boltz2,0.8725145673469389,0.1431110308631691,,0.6758408835731928,False
9x05,boltz2,0.9223255502040816,0.11025629304044897,0.699457,0.6563656072612969,False
9x0j,boltz2,0.9507430236734692,0.07771334227070356,0.802254,0.638193515452507,False
9x3z,boltz2,0.5331520628571428,0.11081110258483609,0.099286,0.4299005538141995,False
9xqb,boltz2,0.6665012489795918,0.11732089726864194,0.144414,0.4153360739618534,False
9xqc,boltz2,0.5323302848979592,0.1095735149816242,0.080049,0.03494409062377613,True
9xqn,boltz2,0.9040893012244897,0.045920683193736,0.814228,0.655932903692502,False
9xsx,boltz2,0.7441775387755102,0.11161487353613254,0.14031,0.09287719659518429,True
9xth,boltz2,0.7345803355102041,0.07483802607999686,0.101343,0.1825008005976196,True
9y0a,boltz2,0.8041239926530612,0.05315272878993395,0.130128,0.6938353035866106,False
9y0e,boltz2,0.8074471616326531,0.06388997034542737,0.157331,0.6593716661822101,False
9yc5,boltz2,0.8079278726530612,0.12271599883350418,0.381045,0.08111015293228177,True
9yio,boltz2,0.8731617665306123,0.05220484316835785,0.327194,0.021394703722093362,True
9ynx,boltz2,0.7647265502040816,0.10973142651488665,,0.15201572500757965,True
9yxd,boltz2,0.910621791020408,0.05671009389761516,0.342317,0.7602588616998641,False
9zdu,boltz2,0.9318880914285713,0.04542576806956607,0.739274,0.908380863812762,False
9zen,boltz2,0.6142389420408164,0.12399489865948611,0.161652,0.23660151474703361,False
21av,opendde-abag,0.6725587355102041,0.15876613736983525,0.177846,0.07969073829870153,True
21du,opendde-abag,0.9755813681632654,0.025196675655023537,0.921527,0.7603298989379489,False
21tw,opendde-abag,0.9528276473469386,0.04256763269197503,0.909115,0.2473440749514257,False
22ps,opendde-abag,0.8353477665306123,0.08636194460083052,0.640974,0.3847370338962916,False
9ck4,opendde-abag,0.9822620848979591,0.010467515221950809,0.868001,0.4415019428103257,False
9d3j,opendde-abag,0.9861601632653061,0.006054059294717609,0.950863,0.2960660287171124,False
9d72,opendde-abag,0.9259240579591836,0.07170150871873453,0.590641,0.009961728471935159,True
